page,id,title,main_reference_number,has_not_been_viewed_much,date_start,date_end,date_display,artist_display,place_of_origin,exhibition_history,colorfulness,department_title,artist_title,style_title,classification_title
4,145903,"The Loggia, Vizcaya",310.1996,False,1917.0,1917.0,1917,"John Singer Sargent
American, 1856-1925",United States,,25.6623,Prints and Drawings,John Singer Sargent,,watercolor
4,145902,"The Basin, Vizcaya",309.1996,False,1917.0,1917.0,1917,"John Singer Sargent
American, 1856-1925",United States,,26.666,Prints and Drawings,John Singer Sargent,,watercolor
4,145808,Study of Two Bedouins,1996.447,False,1905.0,1906.0,1905/6,"John Singer Sargent
American, 1856–1925",United States,"Art Institute of Chicago, John Singer Sargent and Chicago’s Gilded Age, Jul 1–Sep 30, 2018, cat. 33, fig. 72.",31.7485,Arts of the Americas,John Singer Sargent,Modernism,painting
4,145807,Thistles,1996.446,False,1883.0,1889.0,1883/89,"John Singer Sargent
American, 1856–1925",England,"Art Institute of Chicago, John Singer Sargent and Chicago’s Gilded Age, Jul 1–Sep 30, 2018, cat. 14, fig. 133.",33.2132,Arts of the Americas,John Singer Sargent,Impressionism,painting
4,133507,Forest Scene,21.9.1989,False,1876.0,1925.0,n.d.,"John Singer Sargent
American, 1856-1925",United States,,24.2219,Prints and Drawings,John Singer Sargent,,watercolor
4,133456,Tarragona Terrace and Garden,11.9.1989,False,1903.0,1913.0,c. 1908,"John Singer Sargent
American, 1856-1925",United States,,25.052,Prints and Drawings,John Singer Sargent,,watercolor
4,121629,Life Study (Study of an Egyptian Girl),82.1972,False,1891.0,1891.0,1891,"John Singer Sargent
American, 1856–1925",Egypt,"Art Institute of Chicago, John Singer Sargent and Chicago’s Gilded Age, Jul 1–Sep 30, 2018, cat. 24, fig. 7.",24.3836,Arts of the Americas,John Singer Sargent,Realism,painting
4,121628,Rehearsal of the Pasdeloup Orchestra at the Cirque d'Hiver,81.1972,False,1879.0,1879.0,c. 1879,"John Singer Sargent
American, 1856–1925",Paris,"Art Institute of Chicago, John Singer Sargent and Chicago’s Gilded Age, Jul 1–Sep 30, 2018, cat. 6, fig. 120.",16.2677,Arts of the Americas,John Singer Sargent,Impressionism,painting
4,112752,Bound Man (recto); Sketch of Bound Man (verso),1922.5547,False,1917.0,1921.0,1917/21,"John Singer Sargent
American, 1856-1925",United States,,17.0263,Prints and Drawings,John Singer Sargent,,chalk
4,112166,Seated Male Nude with Extended Leg (recto); Sketch of Kneeling Male Nude and Divided Circle (verso),1921.392,False,1917.0,1921.0,1917/21,"John Singer Sargent
American, 1856-1925",United States,,15.5624,Prints and Drawings,John Singer Sargent,,charcoal
4,110879,Mrs. Charles Gifford Dyer (Mary Anthony),1915.592,False,1880.0,1880.0,1880,"John Singer Sargent
American, 1856–1925",United States,"Art Institute of Chicago, Special Exhibition of the Works in the Friends of American Art Collection, May 15–Jun 15, 1919, cat. 8.

New York, Grand Central Galleries, Retrospective Exhibition of Important Works of John Singer Sargent, Feb 23–Apr 6, 1924, cat. 49.

Milwaukee Art Institute, Exhibition of Forty Paintings presented to the Art Institute of Chicago by the Friends of American Art, Mar 1–29, 1925, cat. 31.

Art Institute of Chicago, A Survey of American Painting from the Permanent Collection of the Art Institute, Jul 21–Oct 9, 1932.

Museum of Modern Art, American Painting and Sculpture 1862–1932, Oct 31, 1932–Jan 31, 1933, cat. 90.

Art Institute of Chicago, A Century of Progress: Exhibition of Paintings and Sculpture, Jun 1–Nov 1, 1933, cat. 476.

De Young Memorial Museum, California Palace of the Legion of Honor, Exhibition of American Painting, Jun 7–Jul 7, 1935, cat. 194.

Philadelphia, Pennsylvania Museum of Art, Problems of Portraiture, Oct 16–Nov 28, 1937; Washington, DC, Phillips Memorial Gallery, Dec 6, 1937–Jan 3, 1938.

New York, Museum of Modern Art, Art in Our Times, May–Oct 1939, cat. 46.

Pittsburgh, PA, Carnegie Institute, Survey of American Painting, Oct 24–Dec 15, 1940, cat. 194.

Milwaukee Art Museum, Six Centuries of Portrait Masterpieces, Oct 2–Nov 15, 1942.

Springfield, MA, Museum of Fine Arts, Fifteen Fine Paintings, Oct 7–Nov 7, 1948.

Art Institute of Chicago, Sargent, Whistler, and Mary Cassatt, Jan 14–Feb 25, 1954, cat. 43; New York, Metropolitan Museum of Art, Mar 25–May 23, 1954.

New York, World's Fair, Gallery at the Better Living Center, Four Centuries of American Masterpieces, May 22–Oct 18, 1964, cat. 25.

New York, Portraits Inc., Portraits of Yesterday and Today, Apr 23–May 21, 1968, cat. 73.

New York, Metropolitan Museum of Art, 19th–Century America, Paintings and Sculpture, an Exhibition in Celebration of the Hundredth Anniversary of the Metropolitan Museum of Art, Apr 16–Sep 7, 1970, cat. 175.

Art Institute of Chicago, Art at The Time of the Centennial, Jun 19–Aug 8, 1976, no cat, as Portrait of Mrs. Charles Gifford Dyer.

Albi, France, Musée Toulouse–Lautrec, Tresors Impressionistes du Musée de Chicago, cat. 54.

New York, Whitney Museum of American Art, John Singer Sargent, Oct 7, 1986–Jan 4, 1987; Art Institute of Chicago, Feb 7–Apr 19, 1987.

Art Institute of Chicago, John Singer Sargent and Chicago’s Gilded Age, Jul 1–Sep 30, 2018, cat. 8, fig. 6.",20.6876,Arts of the Americas,John Singer Sargent,Impressionism,painting
4,80891,Seated Male Nude,1921.391,False,1917.0,1921.0,1917/21,"John Singer Sargent
American, 1856-1925",United States,,12.8719,Prints and Drawings,John Singer Sargent,,charcoal
4,77145,Red Cross Our Day 1917,1919.1048,False,1917.0,1917.0,1917,"John Singer Sargent (American, 1856-1925)
printed by Argus (South African, 19th-20th century)",United States,,45.3539,Prints and Drawings,John Singer Sargent,,poster
4,69780,"The Fountain, Villa Torlonia, Frascati, Italy",1914.57,False,1907.0,1907.0,1907,"John Singer Sargent
American, 1856–1925",Frascati,"Art Institute of Chicago, Twenty–fifth Annual Exhibition of American Oil Paintings and Sculpture, Nov 5–Dec 8, 1912, cat. 228.

New York, Grand Central Art Galleries, Retrospective Exhibition of Important Works of John Singer Sargent, Feb 23–Mar 22, 1924, cat. 48.

New York, Metropolitan Museum of Art, Memorial Exhibition of the Work of John Singer Sargent, Jan 4–Feb 14, 1926, cat. 50.

State Fair of Texas, Art Department, 1933 Exhibition Showing the Changes in Painting for the Last Hundred Years in Europe and America, 1933, cat. 76.

Art Institute of Chicago, A Century of Progress, Jun 1–Nov 1, 1934, cat. 407.

Indiana, South Bend Art Association, American Painting in the Manner of the Late Nineteenth and Early Twentieth Centuries, Feb 10–Mar 31, 1948, cat. 46.

Art Institute of Chicago, Sargent, Whistler and Mary Cassatt, Jan 14–Feb 25, 1954; New York, Metropolitan Museum of Art, Mar 25–May 23, 1954.

Grand Rapids Art Museum, MI, Cassatt, Whistler, Sargent Exhibition, Sep 15–Oct 15, 1955, cat. 27.

Lake Forest, IL, Durand Art Institute, Lake Forest College, A Century of American Painting: Masterpieces Loaned by The Art Institute of Chicago, Jun 10–16, 1957, cat. 16, as The Fountain, Villa Torlonia, Frascati.

Washington, DC, Corcoran Gallery of Art, The Private World of John Singer Sargent, Apr 18–Jun 14, 1964, cat. 73; Cleveland Museum of Art, Jul 7–Aug 16, 1964; Worcester Art Museum, MA, Sep 17–Nov 1, 1964; Utica, NY, Munson–Williams–Proctor Institute, Nov 15, 1964–Jan 3, 1965.

New York, Whitney Museum of American Art, John Singer Sargent, Oct 1, 1986–Jan 4, 1987, cat. 149.

Boston, Museum of Fine Arts, The Lure of Italy, Sep 16–Dec 13, 1992, cat. 44; Cleveland Museum of Art, Feb 3–Apr 11, 1993, Houston, Museum of Fine Arts, May 23–Aug 8, 1993, cat. 44.

London, Tate Gallery, John Singer Sargent, Oct 15, 1998–Jan 11, 1999; Washington, DC, National Gallery, Feb 28–May 31, 1999, Boston, Museum of Fine Arts, Jun 23–Sep 26, 1999.

Stanford, CA, Gerald Cantor Center for Visual Arts, Stanford University, The Changing Garden: European and American Gardens and Parks, Jun 11–Sep 7, 2003.

Canberra, National Gallery of Australia, The Edwardians: Secrets and Desires, Mar 12–Jun 14, 2004; Adelaide, Art Gallery of South Australia, Jul 9–Sep 12, 2004.

London, National Portrait Gallery, Sargent: Portraits of Artists and Friends, Feb 12–May 25, 2015; New York, Metropolitan Museum of Art, Jun 29–Oct 4, 2015, cat. 83.

Art Institute of Chicago, John Singer Sargent and Chicago’s Gilded Age, Jul 1–Sep 30, 2018, cat. 34, fig. 40.",20.5562,Arts of the Americas,John Singer Sargent,Impressionism,oil on canvas
4,22153,Water Carriers on the Nile,1935.445,False,1891.0,1891.0,1891,"John Singer Sargent
American, 1856–1925",United States,"Washington, DC, Corcoran Gallery of Art, The Private World of John Singer Sargent, Apr 18–Jun 14, 1964, cat. 55; Cleveland Museum of Art, Jul 7–Aug 16; Worcester Art Museum, MA, Sep 17–Nov 1; Utica, NY, Munson–Williams–Proctor Institute, Nov 15, 1964–Jan 3, 1965.

Art Institute of Chicago, John Singer Sargent and Chicago’s Gilded Age, Jul 1–Sep 30, 2018, cat. 23, fig. 106.",23.745,Arts of the Americas,John Singer Sargent,Modernism,painting
4,15728,An Artist at His Easel,1962.971,False,1914.0,1914.0,1914,"John Singer Sargent
American, 1856-1925",United States,,25.6193,Prints and Drawings,John Singer Sargent,,watercolor
4,14796,Workmen at Carrara,1933.507,False,1911.0,1911.0,1911,"John Singer Sargent
American, 1856-1925",United States,"Chicago, Terra Museum of American Art, ""Five American Masters of Watercolor,"" May 5-July 12, 1981.

New York, Whitney Museum of American Art, Oct. 1, 1986-Jan. 4, 1987; also the Art Institute of Chicago, Feb. 4-Apr. 17, 1987.

London, Tate Gallery, ""John Singer Sargent (1856-1925),"" Oct. 15, 1998-Jan. 17, 1999, p. 235, cat.127 (ill.); also the National Gallery of Art, Washington, D.C., Feb. 21-May 31, 1999; and Boston, the Museum of Fine Arts, June 23-Sept. 26, 1999.

Art Institute of Chicago, ""John Singer Sargent and Chicago's Gilded Age"", June 27-Sept. 30, 2018, cat. 41, pp. 123, 172 (fig. 152), 183, 189, 190 (fig. 163), 204.",26.8641,Prints and Drawings,John Singer Sargent,Impressionism,watercolor
4,14794,"Woodsheds, Tyrol",1933.506,False,1914.0,1914.0,1914,"John Singer Sargent
American, 1856-1925",United States,"The Art Institute of Chicago, ""John Singer Sargent and Chicago's Gilded Age"", June 27 - September 30, 2018, cat. 44, pp. 17, 74, 75, (fig. 50), 123, 183, 189, 197, 205, cat. by Annelise K. Madsen, et. al.",27.8908,Prints and Drawings,John Singer Sargent,,watercolor
4,14792,"Olive Trees, Corfu",1933.505,False,1909.0,1909.0,1909,"John Singer Sargent
American, 1856-1925",United States,"The Art Institute of Chicago, ""John Singer Sargent and Chicago's Gilded Age"", June 27 - September 30, 2018, cat. 36, pp. 17, 122, (fig. 97), 123, 183, 184, 187, 189, 196, 197, 204, cat. by Annelise K. Madsen, et. al.",37.4746,Prints and Drawings,John Singer Sargent,,watercolor
4,7231,Sketches of Legs and Feet,1922.5548,False,1917.0,1921.0,1917/21,"John Singer Sargent
American, 1856-1925",United States,,17.7648,Prints and Drawings,John Singer Sargent,,charcoal
4,7225,"Seated Male Nude, Arms Uplifted",1922.5546,False,1917.0,1921.0,1917/21,"John Singer Sargent
American, 1856-1925",United States,,17.0283,Prints and Drawings,John Singer Sargent,,charcoal
4,4749,Mrs. George Swinton (Elizabeth Ebsworth),1922.4450,False,1897.0,1897.0,1897,"John Singer Sargent
American, 1856–1925",London,"London, England, The New Gallery, Summer Exhibition, Aprl 24–?, 1897, cat. 245, as Mrs. George Swinton.

Edinburgh, Scotland, Royal Scottish Academy, The Ninety–First Exhibition of the Royal Scottish Academy of Painting, Sculpture, and Architecture, May 5–Sep 1, 1917, cat. 142, as Mrs. George Swinton (incorrectly cited as lent by Captain George Swinton instead of Mrs. Henry Edward Ebsworth).

Pittsburgh, Carnegie Institute, Twentieth Annual International Exhibition of Paintings, Apr 28–Jun 30, 1921, cat. 304, as Portrait of Mrs. George Swinton (incorrectly cited as lent by Captain George Swinton instead of Mrs. Henry Edward Ebsworth).

Cincinnati Art Museum, OH, The Twenty–Ninth Annual Exhibition of American Art, May 27–Jul 31, 1922, cat. 38, as Portrait of Mrs. Swinton.

Art Institute of Chicago, The Thirty–Fifth Annual Exhibition of American Paintings and Sculpture, Nov 2–Dec 10, 1922, cat. 202, as Mrs. Swinton.

Art Institute of Chicago, Paintings by John Singer Sargent, Apr 14–Jul 1, 1924.

Boston, Museum of Fine Arts, Memorial Exhibition of the Works of the Late John Singer Sargent, Nov 3–Dec 27, 1925.

Metropolitan Museum of Art, Memorial Exhibition of the Work of John Singer Sargent, Jan 4–Feb 14, 1926, cat. 29.

Leeds, England, Leeds Art Galleries, Lotherton Hall, John Singer Sargent and the Edwardian Age, Apr 5–Jun 10, 1979; London, National Portrait Gallery, Jul 6–Sep 9, 1979; Detroit Institute of Arts, Oct 17–Dec 9, 1979.

New York, Whitney Museum of American Art, John Singer Sargent, Oct 7, 1986–Jan 4, 1987; Art Institute of Chicago, Feb 7–Apr 19, 1987, cat. 118.

Edinburgh, National Gallery of Scotland, The Portrait of a Lady: Sargent and Lady Agnew, Aug 8–Oct 19, 1997.

Art Institute of Chicago, John Singer Sargent and Chicago’s Gilded Age, Jul 1–Sep 30, 2018, cat. 26, fig. 2.",21.3819,Arts of the Americas,John Singer Sargent,Impressionism,painting
4,243810,The Zone (Outside the City Walls),2018.196,False,1882.0,1883.0,1882–83,"Georges Seurat
French, 1859-1891",France,"Paris, Galerie Georges Aubry, Aquarelles, pastels et dessins des Maitres du XIXe siècle, 1931, cat. 75 (as La Grève). 

Paris, Galerie Paul Rosenberg, Seurat, Feb. 3–29, 1936, cat. 102.

London, Wildenstein and Co, Seurat and his Contemporaries, Jan. 20–Feb. 27, 1937, cat. 67, p. 27. 
 
Zurich, Galerie Aktuaryus, Le Néo-Impressionnisme, 1937, cat. 13. 

London, Leicester Galleries, Artists Who Died Young, Mar.–Apr. 1938, cat. 31, p. 14.

Paris, Musée National d'Art Moderne, Le dessin de Toulouse-Lautrec aux Cubistes, 1954, cat. 191, p. 37.

Paris, Galerie Max Kaganovitch, Les 30 ans de la Galerie Max Kaganovitch: Dessins, aquarelles, tableaux, sculptures des XIXe et XXe siècles, May 4–June 18, 1966, cat. 93 (ill.).

New York, The Museum of Modern Art, Georges Seurat, The Drawings, Oct. 28, 2007–Jan. 7, 2008, cat. 62, pp. 128 (color ill.) and 251.  

New York, The Museum of Modern Art, ""Félix Fénéon (1861-1944)"", August 27, 2020 - January 3, 2021, p. 87, pl. 25, cat. by Starr Figura, et. al.",21.3977,Prints and Drawings,Georges Seurat,,drawings (visual works)
4,154022,Trees (study for La Grande Jatte),1966.184,False,1884.0,1884.0,1884,"Georges Seurat
French, 1859-1891",France,"Paris, Jaquemart-André, ""Seurat,"" November-December 1957, no. 29

The Art Institute of Chicago, ""Seurat: Paintings and Drawings,"" January 16-March 7, 1958, cat. 71, by Daniel Catton Rich; also traveled to New York, the Museum of Modern Art, March 24-May 11, 1958.

Paris, Musée Jaquemart-André, ""Chef d’Oeuvre des Collections Françaises,"" 1961, no. 90.

Palm Beach, Fla., Society of Four Arts, ""Drawings from The Art Institute of Chicago,"" January 5–27, 1974, cat. 42 (ill.).

The Art Institute of Chicago, ""The Helen Regenstein Collection of European Drawings,"" 1974, pp. 164-65, cat. 81 (ill.), cat. by Harold Joachim.

Paris, Musée du Louvre, ""Dessins français de l’Art Institute de Chicago de Watteau à Picasso,"" October 15, 1976-January 17, 1977, n.p., cat. 74 (ill.).

Frankfurt am Main, Germany, Städtische Galerie im Städelschen Kunstinstitut, ""Französische Zeichnungen aus dem Art Institute of Chicago,"" February 10-April 10, 1977, pp. 142-43, cat. 68 (ill.).

The Art Institute of Chicago, ""Great Drawings from The Art Institute of Chicago: The Harold Joachim Years 1958-1983,"" July 24-September 30, 1985, pp. 166-67, cat. 76 (ill.), cat. by Martha Tedeschi.

New York, Metropolitan Museum of Art, ""Seurat,"" September 24, 1991-January 12, 1992, cat. 123, cat. by Robert L. Herbert; also traveled to Paris, the Galeries Nationales du Grand Palais, April 9-August 12, 1991.

The Art Institute of Chicago, ""Seurat and the Making of 'La Grande Jatte',"" June 16-September 19, 2004, p. 71, cat. 45 (ill.).

Netherlands, Rijksmuseum Kröller-Müller, ""Seurat: Master of Pointillism"", May 23 - September 7, 2014, hors. cat.",10.1959,Prints and Drawings,Georges Seurat,Post-Impressionism,conté crayon
4,150828,Roses in a Vase,1998.698,False,1881.0,1883.0,1881/83,"Georges Seurat
French, 1859-1891",France,"Paris, La Revue Blanche, ""Seurat,"" March 19–April  5, 1900, cat. 50.

Paris, Galerie Bernheim-Jeune, ""Retrospective Seurat,"" December 14, 1908–January 9, 1909, cat. 144.

Paris, Galerie Bernheim-Jeune, ""Les Dessins de Seurat,"" November 29–December 24, 1926, cat. 66.

New York, Wildenstein and Company, ""Seurat and His Friends,"" November 18–December 26, 1953, cat. 23.

Wellesley, Mass., Wellesley College Museum, ""One Century: Wellesley Families Collect,"" April 15–May 30, 1978, cat. 12.

The Art Institute of Chicago, ""Seurat and the Making of La Grande Jatte,"" June 16–September 19, 2004, hors cat.

The Art Institute of Chicago, ""Drawings in Dialogue: Old Master Through Modern, The Harry B. and Bessie K. Braude Memorial Collection,"" June 3–July 30, 2006, p. 114, cat. 77 (ill.).",33.7866,Prints and Drawings,Georges Seurat,,conté crayon
4,150774,Woman Walking with a Parasol (study for La Grande Jatte),1999.8,False,1884.0,1884.0,1884,"Georges Seurat
French, 1859-1891",France,"New York, Knoedler, ""Seurat: Paintings and Drawings,"" April-19-May 7, 1949, cat. 51.

The Art Institute of Chicago, ""Seurat: Paintings and Drawings,"" January 16-March 7, 1958, pp. 29 and 64, cat. 70 (ill.); also traveled to The Museum of Modern Art, New York, March 24-May 11, 1958.

New York, Metropolitan Museum of Art, ""Seurat: Drawings and Oil Sketches from New York Collections,"" September 29-November 27, 1977, n.p., cat. 28.

New York, The Museum of Modern Art, ""A Century of Modern Drawing: 1881-1981,"" 1981.

The Art Institute of Chicago, ""Seurat and The Making of 'La Grande Jatte', June 16-September 19, 2004, p. 89, cat. 68 (ill.).

New York, Museum of Modern Art, “Georges Seurat: The Drawings,” October 28, 2007–January 7, 2008, pp. 209, and 253, cat. 116 (ill.), cat. by Jodi Hauptman, et. al. 

The Art Institute of Chicago, ""Impressionism, Fashion & Modernity"", June 26-September 22, 2013, hors cat.",10.7741,Prints and Drawings,Georges Seurat,,conté crayon
4,150773,Seated Woman with a Parasol (study for La Grande Jatte),1999.7,False,1884.0,1885.0,1884/85,"Georges Seurat
French, 1859-1891",France,"Paris, Salon des Artistes Indépendants-Rétrospective incorporée au Salon, Grandes Serres de la Ville de Paris, XXI, March 24-April 30, 1905, cat. 6.

Paris, Galerie Bernheim-Jeune, ""Rétrospecitve Georges Seurat,"" December 14, 1908-January 9, 1909, cat. 193.

New York, Galerie C.W. Kraushaar, ""Modern French Paintings, Watercolors and Drawings,"" October 5-28, 1929, cat. 55.

New York, The Museum of Modern Art, ""First Loan Exhibition: Cézanne, Gauguin, Seurat, Van Gough,"" November 8-December 7, 1929, cat. 67 (ill.).

Cambridge, Mass., The Fogg Art Museum, ""Loan Exhibition of French Drawings and Prints of the Nineteenth Century,"" 1934, cat. 66.

New York, The Museum of Modern Art, ""Modern Drawings,"" February 1944, p. 97, cat. 44.

New York, Knoedler Gallery, ""Seurat: Paintings and Drawings,"" April 19-May 7, 1949, n.p., cat. 51.

Paris, Museé de L'Orangérie, ""De David à Toulouse-Lautrec,"" 1955, cat. 91, pl. 88.

The Art Institute of Chicago, ""French Drawings: Masterpieces of Seven Centuries,"" 1955-1956, cat. 170.

The Art Institute of Chicago, ""Seurat: Paintings and Drawings,"" January 16-March 7, 1958, p. 30, cat. 85; also traveled to The Museum of Modern Art, New York, March 24-May 11, 1958.

Paris, Musée de L'Orangerie, ""De Clouet à Matisse,"" 1958-1959, n.p., cat. 188, pl. 190.

New York, Metropolitan Museum of Art, ""Seurat: Drawings and Oil Sketches from New York Collections,"" September 29-November 27, 1977, n.p., cat. 29.

New York, The Metropolitan Museum of Art, ""Seurat,"" September 24, 1991-January 12, 1992, p. 214, cat. 144 (ill.); traveled to the Galeries Nationales du Grand Palais, Paris, April 9-August 12, 1991.

The Art Institute of Chicago, ""Seurat and the Making of 'La Grande Jatte'"", June 16-September 19, 2004, cat. no. 71, p. 94 (ill.).

New York, Museum of Modern Art, “Georges Seurat: The Drawings,” October 28, 2007–January 7, 2008, pp. 220-221, and 253, cat. 116 (ill.), cat. by Jodi Hauptman, et. al. 

New York, The Museum of Modern Art, ""Félix Fénéon (1861-1944)"", August 27, 2020 - January 3, 2021, p. 46, pl. 3, cat. by Starr Figura, et. al.",12.5596,Prints and Drawings,Georges Seurat,Post-Impressionism,conté crayon
4,87159,Woman with a Muff,1926.716,False,1884.0,1886.0,c. 1884,"Georges Seurat
French, 1859-1891",France,,15.6872,Prints and Drawings,Georges Seurat,,conté crayon
4,71393,Panel (Furnishing Fabric),1988.129,False,1960.0,1969.0,1960s,"After painting by Georges Seurat (French, 1859-1891)
United States",United States,,0.0,Textiles,Georges Seurat,,textile
4,69697,Tree Trunks (study for La Grande Jatte),1987.184,False,1884.0,1884.0,1884,"Georges Seurat
French, 1859-1891",France,"New York, The Frick Collection, ""From Pontormo to Seurat: Drawings Recently Acquired by The Art Institute of Chicago,"" April 23-July 7, 1991, n.p., cat. 53; traveled to The Art Institute of Chicago, September 10, 1991-January 5, 1992.

The Art Institute of Chicago, ""Seurat and the Making of  'La Grande Jatte', June 16-September 19, 2004, cat. 46, p. 72 (ill.)

New York, Museum of Modern Art, “Georges Seurat: The Drawings,” October 28, 2007–January 7, 2008, pp. 208, and 253, cat. 116 (ill.), cat. by Jodi Hauptman, et. al.",11.329,Prints and Drawings,Georges Seurat,,conté crayon
4,61616,"Oil Sketch for ""La Grande Jatte""",1981.15,False,1884.0,1884.0,1884,"Georges Seurat
French, 1859-1891",France,"Munich, Kunstverein, Französische Künstler,  September, 1906, cat. 100, traveled to Frankfurt Kunstverein, October, Dresden Kunstverein, November, Galerie E. Arnold, Kalsruhe Kunstverein, December, Stuttgart Kunstverein, January 1907.

Paris, Galerie Jacques Rodrigues-Henriqués, Quelques oeuvres échangées jadis entre eux,  May 17-June 3, 1938.

Art Institute of Chicago, Seurat: Paintings and Drawings, January 16-March 7, cat. 94 as Sketch for ‘La Grande Jatte’; New York, The Museum of Modern Art, March 24 – May 11, 1958.

Washington, National Gallery of Art, 100 European Paintings and Drawings from the Collection of Mr. and Mrs. Leigh B. Block, May 4-June 11, 1967, cat. 21; traveled to Los Angeles County Museum of Art, September 21-November 2, 1967.

Boston, Museum of Fine Arts, One Hundred European Paintings and Drawings from the Collection of Mr. and Mrs. Leigh B. Block, February 2-April 14, 1968, cat. 22 (ill.).

Paris, Galeries Nationales du Grand Palais, Seurat, 1859-1891, April 9-August 12, 1991; New York, Metropolitan Museum of Art, September 24-January 12, 1992, cat. 127, as Petite esquisse (Sketch with Many Figures).

Cologne, Wallraf-Richartz-Museum, Pointillismus, September 6-November 1997, cat. 132; Lausanne, Fondaton de l’Hermitage, January 23-May 1998 [Cologne Only].

Art Institute of Chicago, Seurat and the Making of ‘La Grande Jatte,’ June 16-September 19, 2004,  cat. 48, pp. 74 (color ill.), 75, 267 (color ill.), 274, as Sketch with Many Figures (study for La Grande Jatte), 1884.

Fort Worth, Tex., Kimbell Museum of Art, The Impressionists: Master Paintings from the Art Institute of Chicago, June 29–November 2, 2008, cat. 51 (ill.).",47.0474,Painting and Sculpture of Europe,Georges Seurat,Post-Impressionism,painting
4,27992,A Sunday on La Grande Jatte — 1884,1926.224,False,1884.0,1886.0,1884/86,"Georges Seurat
French, 1859-1891",France,"Paris, Maison Dorée, 1, rue Laffitte, VIIIème Exposition de peinture, May 15–June 15, 1886, cat. 175.

Paris, Rue des Tuileries, IIème Exposition de la Société des Artistes Indépendants, August 21–September 21, 1886, cat. 353.

Brussels, Musée de l’Art Modern, IVe exposition annuelle de XX, February, 1887, cat. 1.

Paris, Pavillon de la Ville de Paris, VIIIème Exposition de la Société des Artistes Indépendants, March 19–April 27, 1892, cat. 1082.

Paris, 23 Boulevard des Italiens, Exposition de La Revue Blanche, Georges Seurat: Oeuvres peintes et dessinées, March 19–April 5, 1900, cat. 17.

Paris, Grandes Serres de la Ville de Paris (serre “B” de la Champs de la Reine, Aval-Alma), 21me Exposition de la Société des Artistes Indépendants.  Éxposition Rétrospective Georges Seurat (1859-1891), 1905, cat. 18.

Paris, Galeries Bernheim-Jeune et Cie, Georges Seurat (1859-1891), December 14, 1908–January 9, 1909, cat. 58.

Paris, Galeries Bernheim-Jeune, Exposition Georges Seurat, January 15–31, 1920, cat. 23.

Minneapolis Institute of Arts, Exhibition of Modern French Paintings from the Birch-Bartlett Collection, April–September, 1925, checklist no. 9.

Boston Art Club, Birch-Bartlett Collection of Modern French Paintings, December 9-16, 1925, checklist no. 26.

Art Institute of Chicago, A Century of Progress Exhibition of Paintings and Sculpture, June 1–November 1, 1933, cat. 370.

Art Institute of Chicago, A Century of Progress Exhibition of Paintings and Sculpture, June 1–November 1, 1934, cat. 324.

Art Institute of Chicago, Art of the United Nations, November 16, 1944–January 1, 1945, no cat. no.

Art Institute of Chicago, Seurat: Paintings and Drawings, January 16–March 7, 1958, cat. 101, traveled to New York, The Museum of Modern Art, Seurat: Paintings and Drawings, March 24–May 11, 1958. 

Art Institute of Chicago, The Art of the Edge: European Frames 1300-1900, October 17–December 14, 1986, not included in the catalogue.

Art Institute of Chicago, Chicago’s Dream, A World’s Treasure: The Art Institute of Chicago 1893-1993, November 1–January 9, 1994, no cat. no, pl. 21.

Art Institute of Chicago, Seurat and the Making of ‘La Grande Jatte,’ June 16-September 19, 2004, cat. 80.",,Painting and Sculpture of Europe,Georges Seurat,Impressionism,oil on canvas
4,20199,"Final Study for ""Bathers at Asnières""",1962.578,False,1883.0,1883.0,1883,"Georges Seurat
French, 1859-1891",France,"New York, Durand-Ruel Galleries, What they said"" - Postscript to Art Criticism; For the Benefit of the Museum of Modern Art on its 20th Anniversary, November 28 - December 17, 1949, cat. 6.

Pittsburgh, Carnegie Institute, French Painting 1100-1900, October 18-December 2, 1951, cat. 92.

New York, Wildenstein & Co., A Loan Exhibition of Seurat and His Friends, November 18-December 26, 1953, cat. 4 (ill.)

Art Institute of Chicago, Seurat: Paintings and Drawings, January 16-March 7, 1958, cat. 57; New York, Museum of Modern Art, March 24-May 11, 1958.

New York, Guggenheim Museum, Neo-Impressionism, February 7 - April 8, 1968, no cat. no.

Paris, Galeries Nationales du Grand Palais, Georges Seurat 1859-1891, April 9–August 12, 1991; New York, Metropolitan Museum of Art, September 24, 1991 - January 12, 1992, cat. 110.

London, The National Gallery, Seurat and the Bathers, July 2-September 28, 1997, cat. 60.

Art Institute of Chicago, Seurat and the Making of ‘La Grande Jatte,’ June 16-September 19, 2004, cat. 20.

Paris, France, Musée d'Orsay, Le Néo-Impressionnisme de Seurat á Paul Klee, March 14- July 10, 2005.  

New York, The Museum of Modern Art, George Seurat: The Drawings, October 9, 2007- January 7, 2008, pl. 103.

Fort Worth, Tex., Kimbell Museum of Art, The Impressionists: Master Paintings from the Art Institute of Chicago, June 29–November 2, 2008, cat. 50 (ill.).

Zurich, Kunsthaus, Georges Seurat: Figures in Space, October 2, 2009-January 17, 2020; Frankfurt, Schirn Kunsthalle, February 11-May 9, 2010.",33.7272,Painting and Sculpture of Europe,Georges Seurat,Post-Impressionism,oil on panel
4,262139,Ivan Albright Collection,1984.6,True,1888.0,1995.0,1888-1995 (bulk 1900-1980),Ivan Albright (1897-1983),,,,AIC Archives,Ivan Albright,,archival material
